LCSC Part Number,Manufacturer,Value,Quoted Manufacturer,Quoted LCSC Part Number,Quantity,Unit Price,Order Price,Quantity Available,Min\Mult Order Qty,RoHS,Part Match Confidence
C141322,Diodes Incorporated,0.156,Diodes Incorporated,C141322,4,0.1721,0.69,3785,5\5,yes,100%
,,,,,,,,,,,0%
C52923,SAMSUNG,0.003,Samsung Electro-Mechanics,C52923,2,0.0037,0.01,11627700,50\50,yes,100%
C89739,ON,0.255,onsemi,C89739,5,,1.4,,1\1,yes,100%
C266550,Bourne Semicon (Shenzhen),0.013,BORN,C266550,4,0.0149,0.06,259453,50\50,yes,100%
C603080,ON(安森美),2.016,onsemi,C603080,4,,8.87,,1\1,yes,100%
C889753,onsemi(安森美),0.851,onsemi,C889753,4,,3.74,,1\1,yes,100%
,,,,,,,,,,,0%
C328340,ResistorToday,0.003,Resistor.Today,C328340,15,0.0037,0.06,47800,100\100,yes,100%
C17514,UniOhm,0.003,UNI-ROYAL(Uniroyal Elec),C17514,1,0.003,0,287700,100\100,yes,100%
C17520,UniOhm,0.003,UNI-ROYAL(Uniroyal Elec),C17520,2,0.003,0.01,128400,100\100,yes,100%
C328350,ResistorToday,0.003,Resistor.Today,C328350,2,0.0037,0.01,9700,100\100,yes,100%
C17902,UniOhm,0.005,UNI-ROYAL(Uniroyal Elec),C17902,4,0.0053,0.02,517450,50\50,yes,100%
C352120,ResistorToday,0.009,Resistor.Today,C352120,1,0.0096,0.01,10500,50\50,yes,100%
C153306,Ever Ohms Tech,0.035,Ever Ohms Tech,C153306,1,0.0386,0.04,1620,20\20,yes,100%
C17678,UniOhm,0.003,UNI-ROYAL(Uniroyal Elec),C17678,1,0.0036,0,21500,100\100,yes,100%
C63865,Uniroyal Elec,0.003,UNI-ROYAL(Uniroyal Elec),C63865,2,0.0031,0.01,40900,100\100,yes,100%
C23221,UniOhm,0.001,UNI-ROYAL(Uniroyal Elec),C23221,1,0.0014,0,99000,100\100,yes,100%
C23249,UniOhm,0.001,UNI-ROYAL(Uniroyal Elec),C23249,2,0.0016,0,27208,100\100,yes,100%
C23265,UniOhm,0.001,UNI-ROYAL(Uniroyal Elec),C23265,1,0.0015,0,106300,100\100,yes,100%
C67088,Uniroyal Elec,0.004,UNI-ROYAL(Uniroyal Elec),C560647,8,,0,,1\1,yes,80%
C17900,UniOhm,0.004,UNI-ROYAL(Uniroyal Elec),C17900,2,0.0045,0.01,592050,50\50,yes,100%
C17539,UniOhm,0.003,UNI-ROYAL(Uniroyal Elec),C17539,1,0.003,0,406800,100\100,yes,100%
C352332,ResistorToday,0.003,Resistor.Today,C352332,4,0.0037,0.01,13700,100\100,yes,100%
C17710,UniOhm,0.002,UNI-ROYAL(Uniroyal Elec),C17710,4,0.0028,0.01,236700,100\100,yes,100%
C145499,Diodes Incorporated,0.089,Diodes Incorporated,C145499,2,0.0979,0.2,23525,5\5,yes,100%
,JST Automotive Connectors,,CJT(Changjiang Connectors),C339410,1,,0,,1\1,yes,60%
